,Unnamed: 0.1,Unnamed: 0,Date,Non-aggravated offences,Aggravated offences,Total offences
0,0,0,2015-04-01,100,100,200.0
1,1,1,2015-05-01,107,100,207.2004748
2,2,2,2015-06-01,108,103,210.9293738
3,3,3,2015-07-01,113,111,223.8530781
4,4,4,2015-08-01,108,102,209.8543613
5,5,5,2015-09-01,105,95,199.3743438
6,6,6,2015-10-01,112,102,213.9459433
7,7,7,2015-11-01,109,103,211.2998782
8,8,8,2015-12-01,112,99,210.9812374
9,9,9,2016-01-01,108,88,195.5801753
10,10,10,2016-02-01,106,88,193.67833
11,11,11,2016-03-01,116,99,214.7795017
12,12,12,2016-04-01,113,97,209.939529
13,13,13,2016-05-01,125,109,233.748703
14,14,14,2016-06-01,121,121,242.3842508
15,15,15,2016-07-01,128,161,288.8279359
16,16,16,2016-08-01,123,130,252.7999956
17,17,17,2016-09-01,125,124,248.9481598
18,18,18,2016-10-01,132,117,249.2305285
19,19,19,2016-11-01,123,107,230.1888747
20,20,20,2016-12-01,127,107,234.4019835
21,21,21,2017-01-01,124,98,221.9015666
22,22,22,2017-02-01,121,102,223.0595589
23,23,23,2017-03-01,142,126,268.1667912
24,24,24,2017-04-01,129,124,253.002549
25,25,25,2017-05-01,139,146,284.326607
26,26,26,2017-06-01,140,175,314.2146035
27,27,27,2017-07-01,147,159,305.6584423
28,28,28,2017-08-01,138,140,278.6399998
29,29,29,2017-09-01,133,129,262.0147766
30,30,30,2017-10-01,146,133,279.7634041
31,31,31,2017-11-01,137,121,258.3324722
32,32,32,2017-12-01,133,116,248.0934288
33,33,33,2018-01-01,132,114,246.2558085
34,34,34,2018-02-01,121,108,229.4958967
35,35,35,2018-03-01,140,136,276.2226783
36,36,36,2018-04-01,144,139,282.9517144
37,37,37,2018-05-01,160,158,318.8499279
38,38,38,2018-06-01,159,163,322.7336803
39,39,39,2018-07-01,171,175,345.6938366
40,40,40,2018-08-01,153,145,298.3689921
41,41,41,2018-09-01,149,138,286.2037508
42,42,42,2018-10-01,156,145,300.8317731
43,43,43,2018-11-01,149,135,283.5973641
44,44,44,2018-12-01,148,133,280.8118857
45,45,45,2019-01-01,145,121,266.7534137
46,46,46,2019-02-01,138,129,266.2922021
47,47,47,2019-03-01,157,157,314.0938938
48,48,48,2019-04-01,151,153,303.8511415
49,49,49,2019-05-01,159,156,315.8980884
50,50,50,2019-06-01,158,153,310.5563777
51,51,51,2019-07-01,171,175,346.7120274
52,52,52,2019-08-01,160,159,319.5762325
53,53,53,2019-09-01,154,147,300.9341509
54,54,54,2019-10-01,160,151,311.1532831
55,55,55,2019-11-01,155,139,294.056888
56,56,56,2019-12-01,152,140,292.5210034
57,57,57,2020-01-01,154,135,288.3714122
58,58,58,2020-02-01,146,141,286.6950686
59,59,59,2020-03-01,148,144,291.6521233
60,60,60,2020-04-01,119,114,233.4272371
61,61,61,2020-05-01,136,144,279.9931136
62,62,62,2020-06-01,144,205,349.007834
63,63,63,2020-07-01,163,208,371.3945347
64,64,64,2020-08-01,168,204,371.3806094
65,65,65,2020-09-01,155,177,332.5613702
66,66,66,2020-10-01,148,155,303.2623684
67,67,67,2020-11-01,136,134,269.8652268
68,68,68,2020-12-01,133,129,262.4809618
69,69,69,2021-01-01,122,116,238.3217579
70,70,70,2021-02-01,119,118,236.4678924
71,71,71,2021-03-01,151,158,309.7964366
